"키워드(2026.06.01.~2026.06.30.),2439317",,,,,,,,,
일별,시간대별,캠페인,키워드,PC/모바일 매체,노출수,클릭수,클릭률(%),평균 CPC,총비용
2026.06.16.,00시~01시,개인회생_에이스,개인회생신청,모바일,6,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생신청,모바일,1,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생신청,모바일,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생신청,모바일,3,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생신청,모바일,9,1,11.11,19989,19989
2026.06.25.,00시~01시,개인회생_에이스,개인회생신청,모바일,1,0,0,0,0
2026.06.26.,00시~01시,개인회생_에이스,개인회생신청,모바일,3,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생신청,모바일,5,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생신청방법,PC,1,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생신청방법,PC,1,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생신청방법,PC,1,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생신청방법,PC,2,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생신청방법,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청방법,PC,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생신청방법,모바일,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청방법,모바일,6,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생신청비용,PC,3,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생신청비용,PC,1,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생신청비용,PC,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,2,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,3,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,3,0,0,0,0
2026.06.04.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,1,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,1,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,4,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,1,0,0,0,0
2026.06.25.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,2,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청비용,모바일,5,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생신청서류,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청서류,PC,2,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청서류,모바일,3,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생신청자격,PC,4,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.04.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.05.,00시~01시,개인회생_에이스,개인회생신청자격,PC,3,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.10.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생신청자격,PC,7,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.25.,00시~01시,개인회생_에이스,개인회생신청자격,PC,1,0,0,0,0
2026.06.26.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생신청자격,PC,3,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청자격,PC,2,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,15,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,9,1,11.11,17248,17248
2026.06.03.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,3,0,0,0,0
